pair_id,condition,a,b,gold,pred,correct,delta_logprob
0,ambiguous,9.8,9.11,9.8,9.8,1,2.283899560570717
0,decimal,9.8,9.11,9.8,9.8,1,3.5173130184412003
0,clean,9.80,9.11,9.80,9.80,1,3.1973969005048275
1,ambiguous,8.12,8.3,8.3,8.3,1,0.24367069453001022
1,decimal,8.12,8.3,8.3,8.12,0,0.07980793435126543
1,clean,8.12,8.30,8.30,8.12,0,1.3117239507846534
2,ambiguous,7.11,7.8,7.8,7.11,0,0.27238736394792795
2,decimal,7.11,7.8,7.8,7.11,0,1.638610564172268
2,clean,7.11,7.80,7.80,7.11,0,2.05120649933815
3,ambiguous,6.25,6.4,6.4,6.4,1,0.5253793834708631
3,decimal,6.25,6.4,6.4,6.25,0,0.539483345579356
3,clean,6.25,6.40,6.40,6.25,0,0.2799353718291968
4,ambiguous,5.12,5.3,5.3,5.3,1,0.5673372391611338
4,decimal,5.12,5.3,5.3,5.3,1,0.06884282734245062
4,clean,5.12,5.30,5.30,5.12,0,1.8054579040035605
5,ambiguous,4.11,4.8,4.8,4.8,1,1.4123890399932861
5,decimal,4.11,4.8,4.8,4.8,1,0.2542765224352479
5,clean,4.11,4.80,4.80,4.11,0,0.7951104496605694
6,ambiguous,3.16,3.8,3.8,3.8,1,1.0395181756466627
6,decimal,3.16,3.8,3.8,3.16,0,0.4217113759368658
6,clean,3.16,3.80,3.80,3.16,0,0.8027185294777155
7,ambiguous,2.9,2.11,2.9,2.9,1,2.88986586779356
7,decimal,2.9,2.11,2.9,2.9,1,3.6668869517743587
7,clean,2.90,2.11,2.90,2.90,1,4.241777058690786
